country,year,disease_name,disease_category,prevalence_rate,incidence_rate,mortality_rate,age_group,gender,population_affected,healthcare_access,doctors_per_1000,hospital_beds_per_1000,treatment_type,average_treatment_cost_usd,availability_of_vaccines_treatment,recovery_rate,improvement_in_5_years,per_capita_income_usd,education_index,urbanization_rate
Nigeria,2002,Measles,Neurological,3.49,14.0,6.61,36-60,Male,786558,58.08,4.73,3.98,Vaccination,21612,No,74.02,9.07,43869,0.63,40.08
China,2022,Zika,Metabolic,17.12,4.84,7.71,36-60,Female,343352,98.3,0.87,7.39,Vaccination,43779,Yes,84.34,7.43,98415,0.55,37.01
Argentina,2015,Cholera,Infectious,18.17,12.36,2.68,61+,Male,417401,78.88,2.77,8.01,Therapy,26058,No,81.03,7.43,29542,0.63,46.32
Argentina,2024,Cancer,Parasitic,10.94,12.88,6.25,61+,Female,419192,94.54,1.99,5.36,Medication,16363,Yes,72.52,5.36,9633,0.51,37.11
Italy,2008,Ebola,Chronic,15.94,11.73,6.37,0-18,Other,644854,51.11,4.32,5.53,Surgery,17197,No,74.51,8.59,33096,0.4,45.7
Russia,2019,Dengue,Autoimmune,13.86,0.79,1.18,0-18,Other,251830,71.56,0.73,0.67,Vaccination,29568,Yes,52.61,6.47,12142,0.63,57.36
USA,2011,Dengue,Chronic,10.45,11.76,5.57,36-60,Male,87481,99.11,2.64,1.49,Therapy,33766,Yes,80.17,9.96,56348,0.65,74.74
Argentina,2007,Measles,Parasitic,15.6,0.63,7.03,61+,Female,653664,80.52,1.42,1.64,Vaccination,49833,No,91.28,8.75,4120,0.44,83.11
Russia,2023,Leprosy,Bacterial,16.22,8.43,9.61,61+,Other,422327,51.8,3.75,2.98,Therapy,27605,Yes,98.03,4.23,13691,0.79,22.94
China,2014,Polio,Cardiovascular,0.55,0.85,3.83,36-60,Female,123270,62.89,1.19,1.36,Vaccination,18513,Yes,58.47,4.47,99993,0.69,26.87
Japan,2017,Tuberculosis,Genetic,13.63,8.09,7.03,36-60,Male,633115,55.2,2.62,4.59,Medication,22954,No,66.11,0.13,52433,0.41,65.18
Brazil,2013,Ebola,Metabolic,16.01,8.55,1.35,19-35,Male,384573,81.59,3.08,3.16,Medication,18972,No,70.43,8.75,14196,0.81,63.55
Japan,2005,Influenza,Respiratory,8.6,13.42,2.32,36-60,Female,757834,82.86,2.72,5.17,Medication,14207,No,75.42,3.93,22316,0.87,27.89
Nigeria,2010,Diabetes,Cardiovascular,18.17,6.2,2.12,19-35,Female,985553,88.65,3.82,5.76,Therapy,14348,No,88.66,4.35,45639,0.51,73.39
Russia,2008,Asthma,Metabolic,1.69,7.96,7.09,0-18,Other,879623,98.94,1.41,3.93,Surgery,12685,No,72.26,5.6,44330,0.58,77.15
Nigeria,2017,HIV/AIDS,Neurological,1.17,10.47,5.72,0-18,Other,368210,99.1,4.77,6.07,Medication,9051,No,96.1,3.73,63276,0.56,35.5
France,2006,Ebola,Autoimmune,9.01,3.55,6.53,0-18,Other,773388,57.54,1.21,6.32,Surgery,2932,No,64.38,6.27,74864,0.54,25.16
South Korea,2000,Alzheimer's Disease,Genetic,3.96,5.55,0.62,36-60,Male,815017,80.67,1.09,3.0,Therapy,42062,Yes,67.77,5.45,91647,0.45,31.22
Australia,2024,Measles,Genetic,5.88,12.37,4.73,36-60,Other,767034,81.29,3.62,6.73,Surgery,33829,No,75.4,7.85,50348,0.87,56.51
South Africa,2017,Hepatitis,Neurological,10.72,6.64,7.89,0-18,Male,22434,93.27,1.15,5.08,Therapy,32840,No,70.46,7.44,41156,0.68,41.79
Argentina,2006,Measles,Infectious,3.95,4.0,8.84,0-18,Male,116183,77.08,4.75,6.01,Surgery,22983,No,64.73,1.49,27909,0.76,79.55
USA,2002,Hepatitis,Respiratory,7.13,6.96,4.02,61+,Other,251611,53.4,2.28,2.55,Therapy,45671,Yes,94.23,1.21,84905,0.82,88.36
USA,2012,Diabetes,Chronic,4.9,6.6,6.16,61+,Female,438583,53.83,1.33,5.89,Surgery,40367,Yes,95.01,5.37,48607,0.74,80.33
Australia,2017,Cholera,Chronic,6.33,12.84,2.47,36-60,Female,183029,67.22,0.73,0.72,Therapy,39219,No,87.03,3.29,30332,0.77,23.65
Turkey,2003,HIV/AIDS,Metabolic,18.56,0.9,7.51,0-18,Female,751970,92.95,0.89,2.85,Vaccination,25402,No,78.8,2.15,57913,0.64,41.13
India,2017,Polio,Cardiovascular,1.26,6.79,7.42,36-60,Other,243846,50.4,2.08,5.39,Medication,9681,No,60.5,6.72,56210,0.56,78.17
India,2010,Ebola,Genetic,4.21,11.0,7.01,0-18,Male,656226,73.58,2.35,2.5,Medication,27378,Yes,75.42,4.68,44096,0.76,84.27
Turkey,2009,Parkinson's Disease,Parasitic,0.13,4.88,5.56,36-60,Other,928625,77.83,1.09,7.68,Surgery,16925,No,92.6,9.73,4928,0.56,21.46
Brazil,2024,Diabetes,Genetic,0.73,9.28,1.09,19-35,Male,4233,54.43,2.58,3.1,Therapy,2078,No,61.8,3.23,73287,0.74,25.44
Saudi Arabia,2013,Zika,Cardiovascular,5.02,12.51,7.95,36-60,Male,438887,83.75,4.59,2.83,Medication,785,No,60.11,7.37,50267,0.64,34.56
Japan,2003,Zika,Cardiovascular,8.85,10.11,5.56,61+,Male,176109,74.09,4.95,4.28,Vaccination,3231,No,67.02,4.26,54291,0.63,45.8
Mexico,2013,Influenza,Neurological,6.53,3.9,6.61,19-35,Female,845940,59.02,1.28,6.74,Medication,13525,No,96.32,8.44,20428,0.53,68.48
Germany,2008,Polio,Metabolic,15.02,0.38,7.85,19-35,Male,675112,95.64,2.01,9.62,Medication,37518,Yes,62.14,5.4,66035,0.75,84.16
UK,2001,Asthma,Respiratory,15.09,1.39,5.28,19-35,Other,196827,66.84,1.08,1.76,Surgery,44835,No,52.0,8.41,97683,0.88,66.41
France,2012,Polio,Genetic,17.97,14.95,0.51,61+,Male,472620,70.33,4.06,6.18,Vaccination,38948,No,58.35,7.04,48508,0.89,42.88
Italy,2002,Hepatitis,Metabolic,11.27,14.1,6.54,61+,Other,411017,97.91,2.91,6.25,Surgery,1544,No,92.64,3.75,6620,0.89,48.04
Russia,2009,COVID-19,Respiratory,19.48,10.41,3.4,19-35,Male,929016,97.88,0.86,6.51,Surgery,12023,Yes,86.8,8.2,63115,0.59,57.31
UK,2008,Cancer,Bacterial,8.12,8.58,5.85,0-18,Male,432506,57.81,0.79,6.69,Vaccination,40742,No,97.46,9.21,5939,0.41,32.76
Nigeria,2003,Polio,Infectious,8.2,13.28,8.04,19-35,Male,197972,56.79,2.71,6.53,Medication,27625,No,63.55,4.38,2347,0.45,68.52
Australia,2013,Cancer,Cardiovascular,16.13,7.82,2.81,36-60,Male,75709,99.72,3.31,9.49,Therapy,24545,No,57.43,2.22,41811,0.78,37.57
Canada,2015,Cholera,Respiratory,0.2,12.46,0.62,19-35,Male,997992,60.93,3.26,4.44,Therapy,10376,Yes,93.68,4.59,72805,0.74,22.52
UK,2023,Polio,Bacterial,10.69,5.69,3.12,19-35,Male,55467,53.02,3.58,2.32,Vaccination,10052,No,71.01,5.57,87935,0.64,89.02
South Africa,2001,Dengue,Viral,5.36,12.16,1.15,36-60,Other,943366,59.36,1.21,2.65,Therapy,19131,Yes,86.17,6.91,77661,0.83,39.8
USA,2020,Influenza,Metabolic,8.06,0.4,2.78,61+,Male,871292,60.95,2.81,8.16,Therapy,49671,Yes,58.75,1.23,31474,0.73,55.38
Argentina,2012,Malaria,Genetic,2.71,10.97,5.68,19-35,Female,837164,95.72,3.28,3.33,Surgery,26506,Yes,89.14,6.35,56606,0.49,67.91
Brazil,2021,Malaria,Parasitic,12.12,4.91,5.55,0-18,Male,767760,76.47,3.31,9.86,Vaccination,38837,No,76.76,6.57,53833,0.41,64.3
China,2013,Cancer,Viral,15.57,4.01,4.44,36-60,Male,386948,98.78,4.17,7.51,Medication,3109,No,67.24,7.33,77104,0.48,61.36
Brazil,2009,Rabies,Autoimmune,4.96,5.73,6.74,61+,Male,468156,80.73,4.03,9.4,Therapy,15324,No,90.18,9.89,94506,0.48,68.94
Russia,2012,Asthma,Chronic,4.82,6.69,2.02,36-60,Female,695608,86.77,1.97,7.3,Therapy,16648,No,94.04,0.77,80558,0.88,67.57
Brazil,2016,Leprosy,Autoimmune,1.22,11.06,9.54,61+,Female,78563,77.08,2.28,4.37,Medication,20016,No,86.81,0.05,15506,0.41,36.11
Russia,2021,Diabetes,Autoimmune,14.29,1.57,7.12,0-18,Female,920061,70.1,2.61,4.03,Vaccination,38676,No,87.97,0.24,87314,0.75,39.47
Turkey,2020,Parkinson's Disease,Bacterial,19.87,2.85,8.83,0-18,Other,869772,95.5,4.54,6.46,Therapy,42978,No,91.8,3.67,14709,0.53,48.44
Mexico,2008,Dengue,Parasitic,3.21,9.93,3.15,19-35,Other,173719,78.85,0.58,4.91,Therapy,49028,No,92.23,4.82,13343,0.53,74.5
Australia,2020,Malaria,Genetic,12.89,12.34,1.52,36-60,Other,108176,54.73,3.32,5.35,Medication,9153,Yes,85.7,1.03,13201,0.62,34.93
Australia,2006,Hypertension,Respiratory,13.42,7.87,6.43,19-35,Female,635718,86.96,1.89,3.9,Medication,34292,No,59.44,5.58,54642,0.61,24.4
Nigeria,2013,COVID-19,Genetic,16.42,3.73,9.38,0-18,Other,54680,79.4,1.94,1.49,Therapy,18609,Yes,59.41,8.61,1528,0.46,70.12
Japan,2013,Alzheimer's Disease,Metabolic,6.24,2.74,0.38,19-35,Female,574312,88.68,0.82,4.68,Vaccination,22952,Yes,51.68,0.87,17778,0.8,34.27
South Korea,2023,Ebola,Chronic,9.74,11.62,3.87,0-18,Male,15852,91.8,2.92,8.71,Vaccination,33473,Yes,76.67,3.33,33284,0.53,47.29
Saudi Arabia,2024,Malaria,Chronic,13.4,11.44,9.59,61+,Other,259325,63.99,3.16,5.84,Surgery,14273,Yes,90.56,7.2,78046,0.64,70.02
China,2023,Cancer,Genetic,18.82,1.97,0.55,19-35,Male,421832,87.89,1.42,3.33,Vaccination,49084,Yes,83.95,1.4,49305,0.65,30.79
China,2013,Hepatitis,Metabolic,15.83,0.95,2.06,36-60,Male,696874,72.54,2.28,8.5,Surgery,44472,Yes,54.76,9.36,33958,0.83,40.23
Australia,2003,Measles,Cardiovascular,13.62,5.88,2.9,61+,Male,664678,90.61,3.14,4.88,Vaccination,16650,No,58.4,9.92,64000,0.56,84.69
Japan,2010,Tuberculosis,Metabolic,8.19,14.32,5.89,0-18,Other,313216,57.24,2.33,7.01,Surgery,13382,No,90.54,2.94,44123,0.41,52.46
Turkey,2007,Dengue,Bacterial,15.55,12.9,6.0,61+,Male,445868,73.53,0.85,7.33,Therapy,46459,No,83.86,1.69,94847,0.5,37.61
South Korea,2007,Cholera,Genetic,5.13,6.29,2.12,61+,Other,641206,85.48,0.67,4.46,Surgery,4233,Yes,65.96,3.11,27899,0.74,47.13
Mexico,2009,Ebola,Autoimmune,12.49,5.49,6.46,36-60,Male,970906,92.74,3.13,2.29,Medication,10256,Yes,94.83,7.33,92918,0.56,34.93
USA,2023,Dengue,Parasitic,12.0,5.12,9.81,19-35,Male,825564,60.93,2.6,7.1,Surgery,45724,Yes,52.79,9.81,22960,0.84,59.6
USA,2004,Leprosy,Parasitic,12.46,8.02,2.27,36-60,Male,741313,51.61,3.24,5.53,Surgery,26577,No,93.78,1.79,69394,0.51,52.76
Russia,2017,Diabetes,Respiratory,15.96,10.06,5.16,19-35,Male,753582,61.65,2.47,5.49,Medication,48049,No,58.86,1.28,48858,0.59,75.36
Saudi Arabia,2007,Diabetes,Parasitic,5.5,14.36,9.2,19-35,Other,546335,71.61,3.51,8.95,Surgery,37978,No,54.99,4.68,65831,0.71,38.02
Italy,2007,Hepatitis,Bacterial,10.86,4.27,7.6,36-60,Female,786494,87.48,0.53,1.4,Surgery,32906,Yes,67.71,9.22,80649,0.46,57.03
Russia,2000,Polio,Cardiovascular,18.78,13.15,8.79,0-18,Female,502933,68.39,0.81,7.72,Therapy,31272,Yes,64.8,0.13,99433,0.62,64.48
India,2002,Parkinson's Disease,Bacterial,8.39,13.32,7.64,19-35,Other,664263,82.12,2.78,8.63,Vaccination,31921,Yes,96.66,9.55,51795,0.54,67.42
UK,2014,Zika,Parasitic,7.72,0.19,1.47,0-18,Other,859912,74.33,1.35,1.9,Medication,19614,Yes,66.85,0.0,37449,0.79,79.34
Germany,2015,Leprosy,Parasitic,7.71,9.52,5.16,36-60,Female,242729,79.06,4.17,9.9,Medication,43093,No,93.67,3.78,58533,0.42,68.89
India,2000,Tuberculosis,Neurological,4.11,12.63,3.34,19-35,Other,487858,72.5,3.81,1.75,Therapy,36473,Yes,63.61,4.71,96423,0.49,82.85
Argentina,2018,Influenza,Cardiovascular,10.17,3.67,1.15,19-35,Female,547008,76.27,3.33,8.61,Surgery,28770,No,89.84,7.55,45271,0.54,34.0
Italy,2017,Polio,Neurological,5.82,12.64,4.69,0-18,Female,780304,96.24,2.36,9.83,Therapy,44177,No,72.86,8.27,52017,0.43,30.09
Germany,2018,Alzheimer's Disease,Cardiovascular,16.48,0.49,7.75,0-18,Male,604361,64.79,0.68,4.45,Vaccination,11595,No,96.23,3.45,16510,0.82,54.13
Argentina,2017,Malaria,Cardiovascular,13.13,9.85,1.08,36-60,Female,445865,70.18,2.04,5.28,Therapy,20492,No,53.74,9.42,50516,0.5,67.37
Germany,2020,Polio,Viral,1.6,10.78,2.3,36-60,Other,583108,68.29,4.65,3.78,Therapy,31708,No,97.8,7.11,85897,0.62,55.51
Canada,2010,Malaria,Neurological,4.26,13.73,0.16,36-60,Male,996493,64.39,4.74,1.9,Medication,37562,Yes,67.9,2.93,70904,0.77,70.87
Indonesia,2016,Ebola,Respiratory,5.09,9.7,0.37,19-35,Female,794791,79.41,2.98,8.97,Medication,7037,No,91.09,4.93,7672,0.88,41.64
Brazil,2000,Zika,Metabolic,14.48,5.42,3.49,61+,Female,391316,98.41,1.34,7.7,Therapy,1036,Yes,71.26,5.72,54529,0.66,22.22
Indonesia,2011,Measles,Genetic,0.7,7.19,5.33,36-60,Other,622322,73.18,3.13,7.37,Vaccination,15470,Yes,52.66,8.16,54588,0.49,41.92
France,2008,Rabies,Autoimmune,4.21,8.48,3.49,19-35,Other,960461,55.28,1.5,4.19,Therapy,8740,No,72.57,3.93,42149,0.75,74.76
Nigeria,2017,Diabetes,Parasitic,12.36,13.74,2.65,61+,Male,66129,93.82,4.61,1.86,Surgery,25753,Yes,94.81,5.5,67111,0.8,52.95
Saudi Arabia,2020,Rabies,Viral,13.62,3.99,6.26,61+,Male,492240,82.48,2.13,1.03,Medication,18272,No,78.6,3.29,72145,0.74,24.82
Australia,2019,Influenza,Cardiovascular,6.98,3.24,5.95,36-60,Other,530109,80.27,4.06,7.35,Surgery,37990,No,86.87,0.29,53867,0.69,80.69
South Korea,2024,Parkinson's Disease,Metabolic,19.7,12.87,6.32,36-60,Male,554052,91.59,2.68,9.11,Therapy,48474,No,97.27,7.01,12187,0.69,23.56
Japan,2019,Dengue,Metabolic,19.2,1.97,7.48,61+,Female,376897,73.74,0.7,5.93,Medication,34135,No,64.37,3.14,26749,0.45,67.9
UK,2011,Diabetes,Genetic,5.72,10.06,1.41,19-35,Female,161946,67.48,4.25,6.16,Therapy,9037,No,80.78,6.2,91002,0.41,72.18
South Korea,2023,Rabies,Chronic,12.65,1.03,4.51,0-18,Male,485252,91.37,4.34,8.99,Therapy,45917,Yes,76.25,9.47,78729,0.7,76.45
Australia,2024,Parkinson's Disease,Autoimmune,9.28,6.83,2.54,0-18,Female,212421,72.33,0.62,1.88,Therapy,44685,No,67.4,8.6,61135,0.55,83.2
Saudi Arabia,2002,Diabetes,Cardiovascular,10.88,1.36,7.36,61+,Female,747469,83.96,4.02,6.89,Medication,38584,Yes,97.16,6.48,33433,0.83,51.69
USA,2005,Polio,Parasitic,7.12,13.74,5.82,19-35,Female,331204,89.47,4.44,8.34,Therapy,33487,Yes,74.97,4.26,1260,0.87,61.63
Australia,2016,Hypertension,Autoimmune,8.63,1.82,8.79,61+,Male,119821,68.25,0.53,4.75,Medication,13684,No,82.17,5.04,54058,0.48,49.33
Australia,2020,HIV/AIDS,Parasitic,6.06,4.94,8.39,61+,Other,634580,52.03,3.17,1.9,Vaccination,2135,Yes,76.59,4.86,73531,0.86,64.03
Saudi Arabia,2001,Influenza,Neurological,6.23,14.48,7.53,19-35,Male,122738,57.7,4.78,6.79,Medication,47709,Yes,98.83,5.94,70479,0.82,40.69
Australia,2015,Ebola,Genetic,1.38,8.0,5.82,19-35,Other,549267,65.6,1.35,2.91,Surgery,14131,Yes,88.82,0.87,76932,0.49,79.87
Japan,2004,Rabies,Autoimmune,0.35,9.2,4.61,61+,Female,108017,67.46,0.8,5.69,Surgery,48684,No,81.76,9.15,99547,0.55,62.18
Brazil,2012,COVID-19,Bacterial,16.96,10.94,1.14,0-18,Female,649479,55.18,4.19,7.33,Surgery,4420,No,69.43,9.01,39858,0.63,52.51
South Africa,2000,Ebola,Bacterial,10.43,12.28,4.08,61+,Male,628263,61.13,2.79,7.22,Therapy,21268,No,77.85,6.49,67632,0.69,63.85
Italy,2020,Rabies,Chronic,9.92,2.92,2.57,61+,Female,833716,75.16,2.12,0.93,Therapy,23376,No,77.88,3.25,92888,0.7,49.97
USA,2012,Alzheimer's Disease,Chronic,12.6,11.93,4.71,0-18,Male,792327,72.73,3.45,5.25,Surgery,1643,No,65.47,1.59,91464,0.44,28.6
China,2001,Dengue,Parasitic,8.68,1.07,2.32,36-60,Other,112276,77.59,3.42,0.81,Therapy,1976,Yes,61.64,9.41,99269,0.9,66.95
Argentina,2014,Asthma,Neurological,12.73,8.53,3.42,0-18,Female,267470,55.57,1.27,3.96,Medication,39981,Yes,50.41,4.42,78847,0.79,54.25
China,2019,Alzheimer's Disease,Bacterial,12.37,1.92,8.57,61+,Male,674211,86.77,1.15,3.22,Vaccination,30285,No,58.38,0.4,12288,0.84,78.13
Turkey,2007,Dengue,Autoimmune,8.83,9.3,3.08,61+,Male,327893,51.36,3.12,4.87,Medication,38755,No,58.18,2.06,61524,0.9,52.11
UK,2016,COVID-19,Genetic,17.8,9.5,8.53,61+,Other,988281,88.05,2.9,6.97,Vaccination,33812,Yes,55.19,6.08,94279,0.44,23.67
Nigeria,2021,Asthma,Bacterial,13.26,5.25,9.15,36-60,Other,252392,63.71,2.41,3.2,Therapy,949,Yes,88.03,1.84,71761,0.58,72.54
Australia,2003,Leprosy,Respiratory,12.86,9.48,2.11,36-60,Other,941410,72.74,1.99,1.96,Medication,13611,Yes,85.86,4.79,73626,0.55,46.91
Turkey,2011,Zika,Bacterial,9.26,12.59,8.1,61+,Male,863096,94.83,1.39,6.03,Medication,49528,Yes,76.29,8.35,42938,0.47,24.87
Australia,2019,Zika,Chronic,7.27,1.81,8.44,36-60,Female,923238,51.58,4.97,2.57,Surgery,21613,Yes,87.9,6.53,36762,0.62,82.5
